state,cases,deaths,day,month,year,POP2020,ppsm,sq_mi,case_fatality,incidence_rate
Alabama,1648385,21631,23,3,23,4921532,97.18,52420,1.312,33493.331
Alaska,308893,1438,23,3,23,731158,1.28,665384,0.466,42247.093
Arizona,2451062,33190,23,3,23,7421401,65.33,113990,1.354,33026.945
Arkansas,1008303,13068,23,3,23,3030522,58.25,53179,1.296,33271.595
California,12169158,104277,23,3,23,39368078,252.74,163695,0.857,30911.232
Colorado,1771010,14245,23,3,23,5807719,56.04,104094,0.804,30494.072
Connecticut,978456,12270,23,3,23,3557006,734.92,5543,1.254,27507.854
Delaware,332861,3352,23,3,23,986809,506.32,2489,1.007,33731.046
District of Columbia,178226,1432,23,3,23,712816,11685.51,68,0.803,25003.086
Florida,7542869,87141,23,3,23,21733312,405.45,65758,1.155,34706.487
Georgia,2984923,41055,23,3,23,10710017,186.26,59425,1.375,27870.385
Hawaii,372408,1851,23,3,23,1407006,218.89,10932,0.497,26468.117
Idaho,522919,5456,23,3,23,1826913,22.11,83569,1.043,28623.093
Illinois,4107931,41618,23,3,23,12587530,226.73,57914,1.013,32634.925
Indiana,2054533,26179,23,3,23,6754953,188.56,36420,1.274,30415.208
Iowa,907421,10770,23,3,23,3163561,56.64,56273,1.187,28683.531
Kansas,940815,10232,23,3,23,2913805,35.64,82278,1.088,32288.194
Kentucky,1723443,18348,23,3,23,4477251,113.37,40408,1.065,38493.33
Louisiana,1580709,18835,23,3,23,4645318,107.53,52378,1.192,34028.004
Maine,319997,2981,23,3,23,1350141,43.78,35380,0.932,23701.006
Maryland,1369930,16672,23,3,23,6055802,623.99,12406,1.217,22621.777
Massachusetts,2230150,24441,23,3,23,6893574,883.68,10554,1.096,32351.143
Michigan,3068195,42311,23,3,23,9966555,176.31,96714,1.379,30784.91
Minnesota,1784263,14964,23,3,23,5657342,71.07,86936,0.839,31538.892
Mississippi,993035,13431,23,3,23,2966786,63.23,48432,1.353,33471.743
Missouri,1794207,23998,23,3,23,6151548,89.52,69707,1.338,29166.756
Montana,330875,3701,23,3,23,1080577,7.42,147040,1.119,30620.215
Nebraska,570835,5068,23,3,23,1937552,25.22,77348,0.888,29461.661
Nevada,892814,12093,23,3,23,3138259,28.59,110572,1.354,28449.341
New Hampshire,379689,3018,23,3,23,1366275,152.62,9349,0.795,27790.086
New Jersey,3057442,36097,23,3,23,8882371,1207.83,8723,1.181,34421.462
New Mexico,673541,9110,23,3,23,2106319,17.36,121590,1.353,31977.16
New York,6805271,80109,23,3,23,19336776,410.32,54555,1.177,35193.411
North Carolina,3481732,29746,23,3,23,10600823,218.04,53819,0.854,32843.978
North Dakota,288106,2529,23,3,23,765309,11.09,70698,0.878,37645.709
Ohio,3415254,42061,23,3,23,11693217,286.19,44826,1.232,29207.138
Oklahoma,1295832,16549,23,3,23,3980783,58.03,69899,1.277,32552.189
Oregon,967156,9451,23,3,23,4241507,44.19,98379,0.977,22802.179
Pennsylvania,3539135,50701,23,3,23,12783254,285.73,46054,1.433,27685.713
Puerto Rico,1139243,5848,23,3,23,3159343,1022.36,5325,0.513,36059.491
Rhode Island,461788,3915,23,3,23,1057125,173.53,1545,0.848,43683.387
South Carolina,1840458,20192,23,3,23,5218040,11.78,32020,1.097,35271.06
South Dakota,280525,3222,23,3,23,892717,167.01,77116,1.149,31423.732
Tennessee,2459152,29035,23,3,23,6886834,112.4,42144,1.181,35708.019
Texas,8447168,94518,23,3,23,29360759,39.54,268596,1.119,28770.264
Utah,1093049,5316,23,3,23,3249879,67.63,84897,0.486,33633.529
Vermont,153198,939,23,3,23,623347,217.52,9616,0.613,24576.68
Virginia,2298300,23782,23,3,23,8590563,115.78,42775,1.035,26753.776
Washington,1940704,15905,23,3,23,7693612,74.25,71298,0.82,25224.875
West Virginia,645710,8132,23,3,23,1784787,107.7,24230,1.259,36178.547
Wisconsin,2014524,16485,23,3,23,5832655,6.0,65496,0.818,34538.714
Wyoming,185800,2014,23,3,23,582328,6.0,97813,1.084,31906.417
