abbr,fully_vaccinated,full_name,curr_pop,percent
AK,459523,Alaska,731158,62.85
AL,2525184,Alabama,4921532,51.31
AR,1656508,Arkansas,3030522,54.66
AZ,4525198,Arizona,7421401,60.97
CA,28739956,California,39368078,73.0
CO,4071560,Colorado,5807719,70.11
CT,2850063,Connecticut,3557006,80.13
DC,534902,District of Columbia,712816,75.04
DE,680561,Delaware,986809,68.97
FL,14496868,Florida,21733312,66.7
GA,5861774,Georgia,10710017,54.73
HI,1115508,Hawaii,1407006,79.28
IA,1966090,Iowa,3163561,62.15
ID,995912,Idaho,1826913,54.51
IL,8741927,Illinois,12587530,69.45
IN,3724839,Indiana,6754953,55.14
KS,1819346,Kansas,2913805,62.44
KY,2579873,Kentucky,4477251,57.62
LA,2501441,Louisiana,4645318,53.85
MA,5498758,Massachusetts,6893574,79.77
MD,4612652,Maryland,6055802,76.17
ME,1078972,Maine,1350141,79.92
MI,6047434,Michigan,9966555,60.68
MN,3925206,Minnesota,5657342,69.38
MO,3468641,Missouri,6151548,56.39
MS,1552512,Mississippi,2966786,52.33
MT,611132,Montana,1080577,56.56
NC,6529154,North Carolina,10600823,61.59
ND,426040,North Dakota,765309,55.67
NE,1236821,Nebraska,1937552,63.83
NH,969344,New Hampshire,1366275,70.95
NJ,6774899,New Jersey,8882371,76.27
NM,1505486,New Mexico,2106319,71.47
NV,1888805,Nevada,3138259,60.19
NY,15094845,New York,19336776,78.06
OH,6860921,Ohio,11693217,58.67
OK,2286698,Oklahoma,3980783,57.44
OR,2956442,Oregon,4241507,69.7
PA,8871480,Pennsylvania,12783254,69.4
PR,2666471,Puerto Rico,3159343,84.4
RI,884659,Rhode Island,1057125,83.69
SC,2961537,South Carolina,5218040,56.76
SD,551286,South Dakota,892717,61.75
TN,3748026,Tennessee,6886834,54.42
TX,17993662,Texas,29360759,61.28
UT,2071766,Utah,3249879,63.75
VA,6303473,Virginia,8590563,73.38
VT,510363,Vermont,623347,81.87
WA,5562574,Washington,7693612,72.3
WI,3841773,Wisconsin,5832655,65.87
WV,1039068,West Virginia,1784787,58.22
WY,296487,Wyoming,582328,50.91
