states,ppsm,sq_mi
District of Columbia,11685.51,68
New Jersey,1207.83,8723
Puerto Rico,1022.36,5325
Massachusetts,883.68,10554
Connecticut,734.92,5543
Maryland,623.99,12406
Delaware,506.32,2489
New York,410.32,54555
Florida,405.45,65758
Ohio,286.19,44826
Pennsylvania,285.73,46054
California,252.74,163695
Illinois,226.73,57914
Hawaii,218.89,10932
North Carolina,218.04,53819
Vermont,217.52,9616
Indiana,188.56,36420
Georgia,186.26,59425
Michigan,176.31,96714
Rhode Island,173.53,1545
South Dakota,167.01,77116
New Hampshire,152.62,9349
Virginia,115.78,42775
Kentucky,113.37,40408
Tennessee,112.4,42144
West Virginia,107.7,24230
Louisiana,107.53,52378
Alabama,97.18,52420
Missouri,89.52,69707
Washington,74.25,71298
Minnesota,71.07,86936
Utah,67.63,84897
Arizona,65.33,113990
Mississippi,63.23,48432
Arkansas,58.25,53179
Oklahoma,58.03,69899
Iowa,56.64,56273
Colorado,56.04,104094
Oregon,44.19,98379
Maine,43.78,35380
Texas,39.54,268596
Kansas,35.64,82278
Nevada,28.59,110572
Nebraska,25.22,77348
Idaho,22.11,83569
New Mexico,17.36,121590
South Carolina,11.78,32020
North Dakota,11.09,70698
Montana,7.42,147040
Wisconsin,6.0,65496
Wyoming,6.0,97813
Alaska,1.28,665384
